TaskName;Words;VideoPath;tfSolution
Begrüßung;Hallo;https://media.spreadthesign.com/video/mp4/22/132344.mp4;hallo
Pronomen;Du;https://media.spreadthesign.com/video/mp4/22/667458.mp4;du
Verabschiedung;Tschüss;https://media.spreadthesign.com/video/mp4/22/139918.mp4;tschüss
Pronomen;Ich;https://media.spreadthesign.com/video/mp4/22/135514.mp4;ich
Verb;mögen;https://media.spreadthesign.com/video/mp4/22/667277.mp4;mögen
Pronomen;Wir;https://media.spreadthesign.com/video/mp4/22/232422.mp4;wir
Verb;helfen;https://media.spreadthesign.com/video/mp4/22/138156.mp4;helfen
Fragewort;wie;https://media.spreadthesign.com/video/mp4/22/137993.mp4;wie
Verb;können;https://media.spreadthesign.com/video/mp4/22/197836.mp4;können
Frage;Wie geht es dir?;https://media.spreadthesign.com/video/mp4/22/645853.mp4;wiegehtesdir
Fragewort;Warum;https://media.spreadthesign.com/video/mp4/22/137982.mp4;warum
Nomen;Ananas;https://media.spreadthesign.com/video/mp4/22/142376.mp4;ananas
Präposition;auf;https://media.spreadthesign.com/video/mp4/22/229506.mp4;auf
Nomen;Pizza;https://media.spreadthesign.com/video/mp4/22/149138.mp4;pizza
Verb;gehen;https://media.spreadthesign.com/video/mp4/22/135257.mp4;gehen
